Country,Food Supply(kilocalories/person&day),Life Expectancy(in years),Number of People in Poverty on Average,Year
Thailand,2420,70.7,0,1995
Timor-Leste,2030,62.6,0,1995
Togo,2050,57.5,0,1995
Tonga,,71.6,,1995
Trinidad and Tobago,2600,69.8,0,1995
Tunisia,3130,73,0.58,1995
Turkey,3720,70.8,0,1995
Turkmenistan,2540,64.6,0,1995
Tuvalu,,62.9,,1995
UAE,3260,68.8,,1995
Uganda,2240,48,0,1995
UK,3190,76.8,0.783,1995
Ukraine,2880,67,1.01,1995
Uruguay,2680,73.7,0.0177,1995
USA,3580,76.1,0,1995
USSR,0,,,1995
Uzbekistan,2660,65.7,,1995
Vanuatu,2540,63.3,,1995
Venezuela,2430,72.6,2.11,1995
Vietnam,2030,70.8,0,1995
Yemen,2040,61.1,0,1995
Yugoslavia,0,,,1995
Zambia,2050,46.8,0,1995
Zimbabwe,1940,54.2,,1995
Afghanistan,1840,54.7,,1996
Albania,2840,74.5,0.00634,1996
Algeria,2780,69.6,0,1996
Andorra,,80,,1996
Angola,1730,51.7,0,1996
Antigua and Barbuda,2190,74,,1996
Argentina,3160,73.5,1.51,1996
Armenia,2320,70.4,0.555,1996
Australia,3080,78.5,0,1996
Austria,3550,77.3,0,1996
Azerbaijan,2220,65.3,0,1996
Bahamas,2540,70.4,,1996
Bahrain,,70.7,,1996
Bangladesh,2050,63.1,74.5,1996
Barbados,2910,74.1,,1996
Belarus,3280,68.9,0,1996
Belgium,0,77.3,0,1996
Belize,2650,72.2,0.0205,1996
Benin,2250,56.9,0,1996
Bermuda,2870,,,1996
Bhutan,,64.2,0,1996
Bolivia,2050,64.6,0,1996
Bosnia and Herzegovina,2880,73.5,0,1996
Botswana,2210,50.6,0,1996
Brazil,2840,69.5,18.4,1996
Brunei,2910,72,,1996
Bulgaria,2740,69.3,0,1996
Burkina Faso,2340,50,0,1996
Burundi,,43,0,1996
Cambodia,1900,59.1,0,1996
Cameroon,2030,56.2,6.79,1996
Canada,3250,78.4,0,1996
Cape Verde,2310,69.7,0,1996
Central African Republic,1900,44.2,0,1996
Chad,1820,53.1,0,1996
Chile,2780,75.5,0.323,1996
China,2700,70.1,455,1996
Colombia,2760,72.8,4.84,1996
Comoros,,59.2,0,1996
"Congo, Dem. Rep.",,52,0,1996
"Congo, Rep.",1970,52.1,0,1996
Costa Rica,2710,77.1,0.25,1996
Cote d'Ivoire,2610,51.3,0,1996
Croatia,2550,73.5,0,1996
Cuba,2450,75.8,,1996
Cyprus,2720,75.8,,1996
Czech Republic,3320,74,0.0134,1996
Czechoslovakia,0,,,1996
Denmark,3290,75.9,0,1996
Djibouti,1690,60.5,0,1996
Dominica,2900,71.9,,1996
Dominican Republic,2180,73.5,0.381,1996
Ecuador,2300,73.5,0,1996
Egypt,3330,66.9,1.53,1996
El Salvador,2400,72.2,0.67,1996
Equatorial Guinea,,52.7,,1996
Eritrea,,54,,1996
Estonia,3060,70,0,1996
Eswatini,2220,57.2,0,1996
Ethiopia,1660,50.1,0,1996
Fiji,2820,66,0,1996
Finland,3020,77.2,0,1996
France,3520,78.4,0,1996
French Polynesia,2860,,,1996
Gabon,2630,60,0,1996
Gambia,2390,61.4,0,1996
Georgia,2540,70.9,0.218,1996
Germany,3300,77.1,0,1996
Ghana,2380,59.8,0,1996
Greece,3510,77.9,0,1996
Grenada,2380,71.2,,1996
Guatemala,2240,65.2,0,1996
Guinea,2350,54,0,1996
Guinea-Bissau,2250,49.5,0,1996
Guyana,2590,63,0,1996
Haiti,1810,55.7,0,1996
Honduras,2410,69.4,1.63,1996
"Hong Kong, China",3160,79,,1996
Hungary,2930,70.8,0,1996
Iceland,3030,79,,1996
India,2340,62,0,1996
Indonesia,2550,66.4,85.5,1996
Iran,3050,70.7,0,1996
Iraq,2180,67.3,0,1996
Ireland,3610,76,0,1996
Israel,3500,78,0,1996
Italy,3570,78.5,0,1996
Jamaica,2720,75.2,0.0442,1996
Japan,2960,80.7,0,1996
Jordan,2660,71.8,0,1996
Kazakhstan,2860,63.9,0.776,1996
Kenya,2050,56.3,0,1996
Kiribati,2770,55.6,,1996
Kuwait,3270,78.8,,1996
Kyrgyz Republic,2480,66.3,0,1996
Lao,2030,56.1,0,1996
Latvia,3000,69,0.0103,1996
Lebanon,3290,73.5,,1996
Lesotho,2360,55.8,0,1996
Liberia,1990,49.6,0,1996
Libya,,73.5,,1996
Lithuania,3010,70.3,0,1996
Luxembourg,0,76.9,,1996
"Macao, China",2670,,,1996
Madagascar,2020,58.2,0,1996
Malawi,2020,46,0,1996
Malaysia,2920,72.2,0,1996
Maldives,2420,69.2,0,1996
Mali,2370,51.9,0,1996
Malta,3290,78,,1996
Marshall Islands,,63.3,,1996
Mauritania,2600,61.7,0.563,1996
Mauritius,2870,71.2,,1996
Mexico,2990,72.7,7.64,1996
"Micronesia, Fed. Sts.",,62.2,0,1996
Moldova,2450,66.9,0,1996
Monaco,,78.6,,1996
Mongolia,2040,59.6,,1996
Montenegro,0,74.1,0,1996
Morocco,3090,68.1,0,1996
Mozambique,1940,52.6,13.3,1996
Myanmar,1790,57.4,,1996
Namibia,2040,59.2,0,1996
Nauru,,60.4,,1996
Nepal,2220,62.6,14.3,1996
Netherlands,3370,77.8,0,1996
Netherlands Antilles,2910,,,1996
New Caledonia,2670,,,1996
New Zealand,3200,77,,1996
Nicaragua,1980,71.5,0,1996
Niger,2100,50,0,1996
Nigeria,2560,54.4,76.3,1996
North Korea,2080,62.6,,1996
North Macedonia,2580,71,0,1996
Norway,3310,78.3,0,1996
Oman,2400,68.1,,1996
Pakistan,2410,60.4,0,1996
Palau,,66,,1996
Palestine,,71.2,0,1996
Panama,2250,77,0,1996
Papua New Guinea,,63.4,1.73,1996
Paraguay,2550,75.1,0,1996
Peru,2270,72.5,0,1996
Philippines,2360,69.9,0,1996
Poland,3340,72.5,0.541,1996
Portugal,3510,75.6,,1996
Qatar,,70.6,,1996
Romania,3060,69,0,1996
Russia,2790,66.1,4.16,1996
Rwanda,1770,47.7,0,1996
Samoa,2500,67.8,,1996
San Marino,,80.9,,1996
Sao Tome and Principe,2170,64.1,0,1996
Saudi Arabia,2910,69.6,,1996
Senegal,2110,59.5,0,1996
Serbia,0,70.4,0,1996
Serbia and Montenegro,3040,,,1996
Seychelles,,71.1,0,1996
Sierra Leone,2180,51.8,0,1996
Singapore,,77.4,,1996
Slovak Republic,2910,73.2,0.00967,1996
Slovenia,3050,75.3,0,1996
Solomon Islands,2310,56.7,,1996
Somalia,,50.4,,1996
South Africa,2800,61.8,0,1996
South Korea,3060,74.8,,1996
South Sudan,,56.2,,1996
Spain,3360,78.3,0,1996
Sri Lanka,2240,70.8,2.99,1996
St. Kitts and Nevis,2510,68.3,,1996
St. Lucia,2670,71.8,0,1996
St. Vincent and the Grenadines,2330,70.5,,1996
Sudan,2160,61.5,0,1996
Suriname,2590,71.4,0,1996
Sweden,3040,79.3,0,1996
Switzerland,3340,79.3,0,1996
Syria,,70.1,0,1996
Taiwan,3110,75.5,,1996
Tajikistan,1930,64.1,0,1996
Tanzania,2040,52.7,0,1996
Thailand,2560,70.6,1.7,1996
Timor-Leste,1890,64.2,0,1996
Togo,2110,57.2,0,1996
Tonga,,71.6,,1996
Trinidad and Tobago,2640,69.5,0,1996
Tunisia,3200,73.3,0,1996
Turkey,3690,71.5,0,1996
Turkmenistan,2510,64.2,0,1996
Tuvalu,,63.1,,1996
UAE,3250,68.9,,1996
Uganda,2130,48.1,13.5,1996
UK,3270,77,0,1996
Ukraine,2800,67.3,0.985,1996
Uruguay,2820,73.9,0.0221,1996
USA,3590,76.4,0,1996
USSR,0,,,1996
Uzbekistan,2590,65.2,,1996
Vanuatu,2630,63.3,,1996
Venezuela,2380,73.3,0,1996
Vietnam,2020,71.1,0,1996
Yemen,2030,61.5,0,1996
Yugoslavia,0,,,1996
Zambia,2030,46.1,5.63,1996
Zimbabwe,1980,52.5,,1996
Afghanistan,1870,54.5,,1997
Albania,2730,72.9,0,1997
Algeria,2730,69.7,0,1997
Andorra,,80.2,,1997
Angola,1730,51.6,0,1997
Antigua and Barbuda,2160,73.5,,1997
Argentina,3130,73.6,1.35,1997
Armenia,2330,71.1,0,1997
Australia,3100,78.8,0,1997
Austria,3490,77.7,0.0271,1997
Azerbaijan,2020,65.7,0,1997
Bahamas,2650,71.1,,1997
Bahrain,,70.9,,1997
Bangladesh,2100,63.8,0,1997
Barbados,2970,74.2,,1997
Belarus,3280,68.7,0,1997
Belgium,0,77.5,0.0356,1997
Belize,2660,71.4,0.0272,1997
Benin,2240,57.1,0,1997
Bermuda,2790,,,1997
Bhutan,,64.8,0,1997
Bolivia,2060,65,1.35,1997
Bosnia and Herzegovina,3090,73.9,0,1997
Botswana,2170,49,0,1997
Brazil,2850,70.1,18.2,1997
Brunei,2820,72.1,,1997
Bulgaria,2680,68.9,0.0266,1997
Burkina Faso,2310,50.8,0,1997
Burundi,,43,0,1997
Cambodia,1900,59.4,0,1997
Cameroon,2100,55.7,0,1997
Canada,3390,78.6,0.108,1997
Cape Verde,2340,69.5,0,1997
Central African Republic,1920,43.8,0,1997
Chad,1900,52.8,0,1997
Chile,2790,76,0,1997
China,2730,70.5,0,1997
Colombia,2770,73.5,0,1997
Comoros,,60.1,0,1997
"Congo, Dem. Rep.",,53.1,0,1997
"Congo, Rep.",1990,46.7,0,1997
Costa Rica,2720,77.2,0.194,1997
Cote d'Ivoire,2670,51.1,0,1997
Croatia,2530,73.5,0,1997
Cuba,2560,76.2,,1997
Cyprus,2720,75.9,,1997
Czech Republic,3240,74.1,0,1997
Czechoslovakia,0,,,1997
Denmark,3370,76.3,0,1997
Djibouti,1760,60.4,0,1997
Dominica,2930,72.1,,1997
Dominican Republic,2150,73.3,0.409,1997
Ecuador,2330,74.2,0,1997
Egypt,3360,67.2,0,1997
El Salvador,2430,72.1,0,1997
Equatorial Guinea,,54.4,,1997
Eritrea,,54.5,,1997
Estonia,3010,70.3,0,1997
Eswatini,2160,55.4,0,1997
Ethiopia,1680,50.6,0,1997
Fiji,2850,65.9,0,1997
Finland,3150,77.3,0,1997
France,3550,78.7,0,1997
French Polynesia,2810,,,1997
Gabon,2630,60.2,0,1997
Gambia,2480,61.1,0,1997
Georgia,2650,70.9,0.794,1997
Germany,3180,77.5,0,1997
Ghana,2400,59.5,0,1997
Greece,3520,78.1,0,1997
Grenada,2400,71.6,,1997
Guatemala,2130,65.3,0,1997
Guinea,2290,54.2,0,1997
Guinea-Bissau,2190,50,0,1997
Guyana,2680,63.3,0,1997
Haiti,1840,56.1,0,1997
Honduras,2400,69.6,1.14,1997
"Hong Kong, China",3130,79.3,,1997
Hungary,3010,71,0,1997
Iceland,3110,79.2,,1997
India,2370,61.9,0,1997
Indonesia,2500,66.7,0,1997
Iran,3090,70.9,0,1997
Iraq,2100,67.5,0,1997
Ireland,3680,76.1,0,1997
Israel,3510,78.2,0.021,1997
Italy,3580,78.8,0,1997
Jamaica,2700,75,0,1997
Japan,2940,81,0,1997
Jordan,2750,72,0.0664,1997
Kazakhstan,2860,64.1,0,1997
Kenya,2020,55.5,9.21,1997
Kiribati,2770,55.8,,1997
Kuwait,3340,77.8,,1997
Kyrgyz Republic,2640,66.8,0,1997
Lao,2040,56.7,2.42,1997
Latvia,2920,69.7,0.0136,1997
Lebanon,3370,73.9,,1997
Lesotho,2400,54.1,0,1997
Liberia,2170,52.4,0,1997
Libya,,75,,1997
Lithuania,3180,71.2,0,1997
Luxembourg,0,77.2,,1997
"Macao, China",2590,,,1997
Madagascar,2020,58.4,10.3,1997
Malawi,2060,45.7,0,1997
Malaysia,2910,72.5,0.118,1997
Maldives,2400,69.8,0,1997
Mali,2360,51.1,0,1997
Malta,3300,78.2,,1997
Marshall Islands,,63.1,,1997
Mauritania,2620,62.2,0,1997
Mauritius,2830,71.1,,1997
Mexico,2970,72.9,0,1997
"Micronesia, Fed. Sts.",,62.4,0,1997
Moldova,2460,68.1,0.572,1997
Monaco,,78.7,,1997
Mongolia,2030,60,,1997
Montenegro,0,73.8,0,1997
Morocco,3100,68.4,0,1997
Mozambique,1970,52.6,0,1997
Myanmar,1840,57.7,,1997
Namibia,2080,58,0,1997
Nauru,,60,,1997
Nepal,2270,63.4,0,1997
Netherlands,3270,78,0,1997
Netherlands Antilles,2920,,,1997
New Caledonia,2750,,,1997
New Zealand,3220,77.4,,1997
Nicaragua,1960,72.4,0,1997
Niger,2170,50.5,0,1997
Nigeria,2600,54.6,0,1997
North Korea,2130,62.6,,1997
North Macedonia,2770,71.2,0,1997
Norway,3330,78.5,0,1997
Oman,2360,68.4,,1997
Pakistan,2400,60.5,64.3,1997
Palau,,66.2,,1997
Palestine,,71.4,0,1997
Panama,2180,76.7,0.419,1997
Papua New Guinea,,63.5,0,1997
Paraguay,2600,75.5,0,1997
Peru,2320,73,0.24,1997
Philippines,2340,70.1,17.3,1997
Poland,3320,72.7,0,1997
Portugal,3390,75.9,,1997
Qatar,,70.1,,1997
Romania,3050,69.1,0,1997
Russia,2860,67.2,0,1997
Rwanda,1720,46.8,0,1997
Samoa,2550,68,,1997
San Marino,,81.1,,1997
Sao Tome and Principe,2190,64.1,0,1997
Saudi Arabia,2980,69.8,,1997
Senegal,2110,59.6,0,1997
Serbia,0,70.2,0,1997
Serbia and Montenegro,2990,,,1997
Seychelles,,71.2,0,1997
Sierra Leone,2200,51.5,0,1997
Singapore,,77.9,,1997
Slovak Republic,2900,73,0,1997
Slovenia,2930,75.3,0,1997
Solomon Islands,2410,56.8,,1997
Somalia,,50.1,,1997
South Africa,2820,59.5,0,1997
South Korea,3070,75.3,,1997
South Sudan,,54.5,,1997
Spain,3300,78.8,0,1997
Sri Lanka,2270,70.5,0,1997
St. Kitts and Nevis,2420,68.7,,1997
St. Lucia,2740,72.3,0,1997
St. Vincent and the Grenadines,2310,70.9,,1997
Sudan,2150,61.8,0,1997
Suriname,2540,71.5,0,1997
Sweden,3090,79.5,0,1997
Switzerland,3320,79.6,0,1997
Syria,,70.4,0,1997
Taiwan,3110,76,,1997
Tajikistan,1910,65.6,0,1997
Tanzania,2000,52.6,0,1997
Thailand,2540,71.7,0,1997
Timor-Leste,1920,63.4,0,1997
Togo,2150,56.7,0,1997
Tonga,,71.4,,1997
Trinidad and Tobago,2620,70.2,0,1997
Tunisia,3250,73.5,0,1997
Turkey,3600,72,0,1997
Turkmenistan,2540,64.3,0,1997
Tuvalu,,63.3,,1997
UAE,3260,69,,1997
Uganda,2160,48.4,0,1997
UK,3330,77.3,0,1997
Ukraine,2850,67.9,0,1997
Uruguay,2810,74.1,0.0199,1997
USA,3650,76.8,2.73,1997
USSR,0,,,1997
Uzbekistan,2540,65.4,,1997
Vanuatu,2680,62.1,,1997
Venezuela,2280,74.1,0,1997
Vietnam,1990,71.3,0,1997
Yemen,2050,62,0,1997
Yugoslavia,0,,,1997
Zambia,1970,45.7,0,1997
Zimbabwe,2010,51.2,,1997
Afghanistan,1900,53.3,,1998
Albania,2730,74.8,0,1998
Algeria,2790,70.2,0,1998
Andorra,,80.4,,1998
Angola,1750,50.6,0,1998
Antigua and Barbuda,2150,74.5,,1998
Argentina,3160,73.7,1.44,1998
Armenia,2320,71.6,0,1998
Australia,3020,79.1,0,1998
Austria,3610,77.9,0,1998
Azerbaijan,2120,66,0,1998
Bahamas,2600,71.4,,1998
Bahrain,,71,,1998
Bangladesh,2160,64.5,0,1998
Barbados,2810,74.5,,1998
Belarus,3220,68.4,0.0846,1998
Belgium,0,77.7,0,1998
Belize,2650,70.6,0.0255,1998
Benin,2240,57.2,0,1998
Bermuda,2770,,,1998
Bhutan,,65.4,0,1998
Bolivia,1950,65.5,0,1998
Bosnia and Herzegovina,3020,74.9,0,1998
Botswana,2080,47.6,0,1998
Brazil,2850,70.4,16.2,1998
Brunei,2850,72.2,,1998
Bulgaria,2820,69.4,0,1998
Burkina Faso,2290,51.6,7.68,1998
Burundi,,43.9,5.57,1998
Cambodia,1980,59.6,0,1998
Cameroon,2100,55.2,0,1998
Canada,3460,78.8,0.206,1998
Cape Verde,2340,69.7,0,1998
Central African Republic,1990,43.8,0,1998
Chad,2040,52.5,0,1998
Chile,2800,76.2,0.35,1998
China,2770,70.9,0,1998
Colombia,2730,74,0,1998
Comoros,,60.3,0,1998
"Congo, Dem. Rep.",,53.3,0,1998
"Congo, Rep.",2050,50.3,0,1998
Costa Rica,2760,77.4,0.158,1998
Cote d'Ivoire,2640,50.9,4.64,1998
Croatia,2520,73.8,0,1998
Cuba,2650,76.3,,1998
Cyprus,2730,76,,1998
Czech Republic,3270,74.7,0,1998
Czechoslovakia,0,,,1998
Denmark,3400,76.7,0,1998
Djibouti,1860,60.2,0,1998
Dominica,2910,71.9,,1998
Dominican Republic,2140,73.2,0,1998
Ecuador,2250,74.1,1.22,1998
Egypt,3340,67.5,0,1998
El Salvador,2430,71.4,1.02,1998
Equatorial Guinea,,55.5,,1998
Eritrea,,54.5,,1998
Estonia,2960,69.9,0.00069,1998
Eswatini,2180,53,0,1998
Ethiopia,1680,51.1,0,1998
Fiji,2830,66.5,0,1998
Finland,3180,77.6,0,1998
France,3590,78.8,0,1998
French Polynesia,2800,,,1998
Gabon,2660,60.1,0,1998
Gambia,2360,61.5,0.761,1998
Georgia,2610,70.6,0.6,1998
Germany,3290,77.8,0,1998
Ghana,2430,59.7,7.03,1998
Greece,3540,78.2,0,1998
Grenada,2320,71.9,,1998
Guatemala,2160,65.4,1.74,1998
Guinea,2260,54.3,0,1998
Guinea-Bissau,2150,49.8,0,1998
Guyana,2680,63.5,0.0642,1998
Haiti,1920,56.5,0,1998
Honduras,2410,63.4,1.46,1998
"Hong Kong, China",3040,79.6,,1998
Hungary,3010,71,0,1998
Iceland,3120,79.5,,1998
India,2360,62.1,0,1998
Indonesia,2490,66.8,0,1998
Iran,3100,71.3,0.803,1998
Iraq,2120,67.9,0,1998
Ireland,3680,76.3,0,1998
Israel,3500,78.4,0,1998
Italy,3670,79,0.95,1998
Jamaica,2710,74.9,0,1998
Japan,2900,81,0,1998
Jordan,2730,72.3,0,1998
Kazakhstan,2730,64.5,0,1998
Kenya,2050,55.1,0,1998
Kiribati,2840,56,,1998
Kuwait,3360,78.5,,1998
Kyrgyz Republic,2500,67.2,1.52,1998
Lao,2050,57.3,0,1998
Latvia,2850,69.3,0,1998
Lebanon,3370,74.2,,1998
Lesotho,2430,52,0,1998
Liberia,2140,53,0,1998
Libya,,74.8,,1998
Lithuania,3190,71.5,0.00426,1998
Luxembourg,0,77.5,,1998
"Macao, China",2510,,,1998
Madagascar,2010,58.6,0,1998
Malawi,2120,45.5,8.9,1998
Malaysia,2890,72.9,0,1998
Maldives,2430,70.8,0.067,1998
Mali,2430,51,0,1998
Malta,3350,78.5,,1998
Marshall Islands,,63.1,,1998
Mauritania,2660,62.6,0,1998
Mauritius,2860,71.8,,1998
Mexico,2970,73.2,8.68,1998
"Micronesia, Fed. Sts.",,62.5,0,1998
Moldova,2460,68.8,0.933,1998
Monaco,,78.7,,1998
Mongolia,2100,60.4,,1998
Montenegro,0,73.7,0,1998
Morocco,3150,68.8,0,1998
Mozambique,1990,52.6,0,1998
Myanmar,1840,58.1,,1998
Namibia,2070,56.5,0,1998
Nauru,,59.6,,1998
Nepal,2240,64,0,1998
Netherlands,3360,78.1,0,1998
Netherlands Antilles,2960,,,1998
New Caledonia,2720,,,1998
New Zealand,3210,77.9,,1998
Nicaragua,2070,70.4,0.618,1998
Niger,2190,51.1,0,1998
Nigeria,2630,54.6,0,1998
North Korea,2120,62.5,,1998
North Macedonia,2870,71.1,0,1998
Norway,3400,78.5,0,1998
Oman,2540,68.6,,1998
Pakistan,2370,60.7,0,1998
Palau,,66.2,,1998
Palestine,,71.7,0,1998
Panama,2390,76.8,0.433,1998
Papua New Guinea,,62.4,0,1998
Paraguay,2600,75.6,0.492,1998
Peru,2260,73.4,3.62,1998
Philippines,2290,70.2,0,1998
Poland,3380,73.1,0,1998
Portugal,3510,76.2,,1998
Qatar,,70.2,,1998
Romania,3070,69.8,0.38,1998
Russia,2860,67.5,0,1998
Rwanda,1740,47.9,0,1998
Samoa,2610,68.2,,1998
San Marino,,81.3,,1998
Sao Tome and Principe,2220,64.2,0,1998
Saudi Arabia,3010,70,,1998
Senegal,2110,59.7,0,1998
Serbia,0,70.7,0,1998
Serbia and Montenegro,2890,,,1998
Seychelles,,71.6,0,1998
Sierra Leone,2150,49.8,0,1998
Singapore,,78.3,,1998
Slovak Republic,2940,73,0,1998
Slovenia,2850,75.5,0.0004,1998
Solomon Islands,2390,56.9,,1998
Somalia,,50.8,,1998
South Africa,2850,58,0,1998
South Korea,2980,75.6,,1998
South Sudan,,55.4,,1998
Spain,3340,79,0,1998
Sri Lanka,2300,71.2,0,1998
St. Kitts and Nevis,2400,68.7,,1998
St. Lucia,2680,72.8,0,1998
St. Vincent and the Grenadines,2380,71,,1998
Sudan,2170,62,0,1998
Suriname,2560,70.8,0,1998
Sweden,3060,79.6,0,1998
Switzerland,3330,79.9,0,1998
Syria,,70.4,0,1998
Taiwan,3070,76.3,,1998
Tajikistan,1940,65.7,0,1998
Tanzania,2080,52.6,0,1998
Thailand,2600,71.8,1.27,1998
Timor-Leste,1800,63.8,0,1998
Togo,2120,56.6,0,1998
Tonga,,71,,1998
Trinidad and Tobago,2660,69.9,0,1998
Tunisia,3300,73.8,0,1998
Turkey,3660,72.7,0,1998
Turkmenistan,2560,64.7,1.09,1998
Tuvalu,,63.7,,1998
UAE,3310,69.2,,1998
Uganda,2270,48.7,0,1998
UK,3350,77.5,0,1998
Ukraine,2830,68.7,0,1998
Uruguay,2820,74.1,0.0267,1998
USA,3660,76.9,0,1998
USSR,0,,,1998
Uzbekistan,2500,65.4,,1998
Vanuatu,2720,63.5,,1998
Venezuela,2350,74,2.32,1998
Vietnam,2110,71.7,37.3,1998
Yemen,2070,62.5,1.73,1998
Yugoslavia,0,,,1998
Zambia,1930,45.5,5.33,1998
Zimbabwe,2010,49.7,,1998
Afghanistan,1850,54.7,,1999
Albania,2800,75.1,0,1999
Algeria,2840,70.7,0,1999
Andorra,,80.6,,1999
Angola,1810,51.9,0,1999
Antigua and Barbuda,2160,74.7,,1999
Argentina,3270,73.8,1.53,1999
Armenia,2290,71.9,0.518,1999
Australia,3010,79.4,0,1999
Austria,3670,78.2,0,1999
Azerbaijan,2190,66.2,0,1999
Bahamas,2700,70.8,,1999
Bahrain,,71.2,,1999
Bangladesh,2270,65.1,0,1999
Barbados,2940,74.8,,1999
Belarus,3120,68.2,0.0381,1999
Belgium,0,77.8,0,1999
Belize,2640,70.3,0.0283,1999
Benin,2230,57.3,0,1999
Bermuda,2640,,,1999
Bhutan,,66,0,1999
Bolivia,2040,66,1.94,1999
Bosnia and Herzegovina,2940,75.4,0,1999
Botswana,2120,46.4,0,1999
Brazil,2870,70.8,17,1999
Brunei,2810,72.3,,1999
Bulgaria,2880,70,0,1999
Burkina Faso,2340,52.1,0,1999
Burundi,,44.3,0,1999
Cambodia,2050,60,0,1999
Cameroon,2120,54.8,0,1999
Canada,3500,79.1,0,1999
Cape Verde,2330,69.7,0,1999
Central African Republic,1930,43.8,0,1999
Chad,1990,52.5,0,1999
Chile,2800,76.5,0,1999
China,2760,71.2,451,1999
Colombia,2760,74.1,6.35,1999
Comoros,,61.2,0,1999
"Congo, Dem. Rep.",,53.5,0,1999
"Congo, Rep.",2100,52.2,0,1999
Costa Rica,2800,77.3,0.209,1999
Cote d'Ivoire,2650,51,0,1999
Croatia,2540,74.1,0.00865,1999
Cuba,2900,76.6,,1999
Cyprus,2710,76.3,,1999
Czech Republic,3120,75,0,1999
Czechoslovakia,0,,,1999
Denmark,3330,76.7,0,1999
Djibouti,1900,60.3,0,1999
Dominica,2930,72.1,,1999
Dominican Republic,2150,73.4,0,1999
Ecuador,2330,74.2,1.99,1999
Egypt,3360,67.9,0,1999
El Salvador,2410,72.8,0.814,1999
Equatorial Guinea,,56.6,,1999
Eritrea,,47.3,,1999
Estonia,3110,70.7,0,1999
Eswatini,2270,50.7,0,1999
Ethiopia,1730,50.8,0,1999
Fiji,2840,65.9,0,1999
Finland,3170,77.8,0,1999
France,3600,78.9,0,1999
French Polynesia,2780,,,1999
Gabon,2710,59.8,0,1999
Gambia,2510,61.5,0,1999
Georgia,2610,70.7,0.765,1999
Germany,3280,78.1,0,1999
Ghana,2470,59.7,0,1999
Greece,3630,78.2,0,1999
Grenada,2250,71.9,,1999
Guatemala,2140,66.4,0,1999
Guinea,2320,54.4,0,1999
Guinea-Bissau,2160,50,0,1999
Guyana,2680,64.1,0,1999
Haiti,1960,57,0,1999
Honduras,2400,69.9,1.52,1999
"Hong Kong, China",3050,80,,1999
Hungary,3000,71.1,0.00205,1999
Iceland,3160,79.9,,1999
India,2400,62.6,0,1999
Indonesia,2470,67,98.2,1999
Iran,3090,71.6,0,1999
Iraq,2150,68.3,0,1999
Ireland,3700,76.4,0,1999
Israel,3480,78.7,0,1999
Italy,3700,79.3,0,1999
Jamaica,2730,74.5,0.0342,1999
Japan,2900,81.2,0,1999
Jordan,2660,72.5,0,1999
Kazakhstan,2740,64.8,0,1999
Kenya,2080,54.9,0,1999
Kiribati,2860,56.2,,1999
Kuwait,3400,77.8,,1999
Kyrgyz Republic,2520,67.6,0,1999
Lao,2040,57.8,0,1999
Latvia,2840,70.1,0,1999
Lebanon,3380,74.6,,1999
Lesotho,2460,50.2,0,1999
Liberia,2090,53.8,0,1999
Libya,,74.9,,1999
Lithuania,3130,71.9,0,1999
Luxembourg,0,77.8,,1999
"Macao, China",2480,,,1999
Madagascar,2010,59.1,12.6,1999
Malawi,2180,45.5,0,1999
Malaysia,2910,72.1,0,1999
Maldives,2480,71.6,0,1999
Mali,2450,52.9,0,1999
Malta,3370,78.6,,1999
Marshall Islands,,63,,1999
Mauritania,2640,63.1,0,1999
Mauritius,2860,71.9,,1999
Mexico,2980,73.7,0,1999
"Micronesia, Fed. Sts.",,62.8,0,1999
Moldova,2480,68.8,1.3,1999
Monaco,,78.8,,1999
Mongolia,2140,60.7,,1999
Montenegro,0,73.6,0,1999
Morocco,3080,68.9,1.92,1999
Mozambique,2000,52.4,0,1999
Myanmar,1840,58.5,,1999
Namibia,2170,55.2,0,1999
Nauru,,59.3,,1999
Nepal,2310,64.8,0,1999
Netherlands,3280,78.1,0.0538,1999
Netherlands Antilles,3020,,,1999
New Caledonia,2740,,,1999
New Zealand,3190,78,,1999
Nicaragua,2080,73.3,0,1999
Niger,2220,51.5,0,1999
Nigeria,2630,54.6,0,1999
North Korea,2110,62.5,,1999
North Macedonia,2790,71.4,0,1999
Norway,3420,78.7,0,1999
Oman,2630,68.8,,1999
Pakistan,2420,60.9,40.8,1999
Palau,,66.2,,1999
Palestine,,71.9,0,1999
Panama,2210,77.3,0.379,1999
Papua New Guinea,,63.3,0,1999
Paraguay,2640,75.5,0.49,1999
Peru,2270,74.4,4.05,1999
Philippines,2360,70.5,0,1999
Poland,3380,73.2,0.0155,1999
Portugal,3560,76.4,,1999
Qatar,,70.6,,1999
Romania,3080,70.7,0.649,1999
Russia,2890,66.2,4,1999
Rwanda,1740,49.3,0,1999
Samoa,2710,68.3,,1999
San Marino,,81.5,,1999
Sao Tome and Principe,2240,64.6,0,1999
Saudi Arabia,3070,70.2,,1999
Senegal,2150,60.1,0,1999
Serbia,0,68.9,0,1999
Serbia and Montenegro,2840,,,1999
Seychelles,,71.8,0,1999
Sierra Leone,2070,50,0,1999
Singapore,,78.8,,1999
Slovak Republic,2880,73.3,0,1999
Slovenia,3060,75.8,0,1999
Solomon Islands,2310,57,,1999
Somalia,,51.1,,1999
South Africa,2840,57.2,0,1999
South Korea,3100,76,,1999
South Sudan,,56.3,,1999
