Country,Food Supply(kilocalories/person&day),Life Expectancy(in years),Number of People in Poverty on Average,Year
Denmark,3030,74.7,0,1983
Djibouti,1540,60.7,0,1983
Dominica,2250,72.5,,1983
Dominican Republic,2220,69.9,0,1983
Ecuador,2210,68.3,0,1983
Egypt,3050,59.8,0,1983
El Salvador,2230,60.6,0,1983
Equatorial Guinea,,51,,1983
Eritrea,,44,,1983
Estonia,0,69.8,0,1983
Eswatini,2400,57.6,0,1983
Ethiopia,0,42.6,0,1983
Fiji,2490,66.5,0,1983
Finland,2990,74.8,0,1983
France,3460,75.3,0,1983
French Polynesia,2750,,,1983
Gabon,2410,59,0,1983
Gambia,2150,59.2,0,1983
Georgia,0,69.1,0,1983
Germany,3380,74.1,0,1983
Ghana,1530,57.8,0,1983
Greece,3430,75.6,0,1983
Grenada,2110,66.2,,1983
Guatemala,2120,58.4,0,1983
Guinea,2340,48.4,0,1983
Guinea-Bissau,2140,45.9,0,1983
Guyana,2530,62.7,0,1983
Haiti,1940,52.3,0,1983
Honduras,2100,69.2,0,1983
"Hong Kong, China",3050,75.8,,1983
Hungary,3420,68.9,0,1983
Iceland,3190,77.1,,1983
India,2210,56.6,415,1983
Indonesia,2380,61.3,0,1983
Iran,2770,65.2,0,1983
Iraq,3050,60,0,1983
Ireland,3550,73.4,0,1983
Israel,3280,74.8,0,1983
Italy,3360,75,0,1983
Jamaica,2530,73,0,1983
Japan,2830,77.5,0,1983
Jordan,2570,68.1,0,1983
Kazakhstan,0,67.4,0,1983
Kenya,2210,63.1,0,1983
Kiribati,2700,54.5,,1983
Kuwait,3010,74.3,,1983
Kyrgyz Republic,0,65.4,0,1983
Lao,1930,49.1,0,1983
Latvia,0,69.7,0,1983
Lebanon,2930,64.2,,1983
Lesotho,2340,59.4,0,1983
Liberia,2440,51.7,0,1983
Libya,,70.8,,1983
Lithuania,0,71,0,1983
Luxembourg,0,73.2,,1983
"Macao, China",3000,,,1983
Madagascar,2410,54.7,0,1983
Malawi,2160,49.8,0,1983
Malaysia,2770,70,0,1983
Maldives,2300,59.2,0,1983
Mali,1740,47.4,0,1983
Malta,3110,73.7,,1983
Marshall Islands,,62.8,,1983
Mauritania,2460,57.4,0,1983
Mauritius,2610,68.8,,1983
Mexico,3110,67.8,0,1983
"Micronesia, Fed. Sts.",,60.1,0,1983
Moldova,0,65.3,0,1983
Monaco,,76.4,,1983
Mongolia,2380,58.3,,1983
Montenegro,0,72.8,0,1983
Morocco,2760,63,0,1983
Mozambique,1700,48.3,0,1983
Myanmar,1680,52.3,,1983
Namibia,2180,59.7,0,1983
Nauru,,62.5,,1983
Nepal,1910,53.4,0,1983
Netherlands,3080,76.3,0.0675,1983
Netherlands Antilles,3810,,,1983
New Caledonia,2860,,,1983
New Zealand,2970,74.3,,1983
Nicaragua,2060,62.5,0,1983
Niger,2230,45.3,0,1983
Nigeria,1730,54.7,0,1983
North Korea,2030,65.3,,1983
North Macedonia,0,69.5,0,1983
Norway,3160,76.4,0,1983
Oman,0,63.7,,1983
Pakistan,2240,60.8,0,1983
Palau,,62.9,,1983
Palestine,,67.6,0,1983
Panama,2320,75,0,1983
Papua New Guinea,,62.2,0,1983
Paraguay,2540,73.9,0,1983
Peru,2190,65.7,0,1983
Philippines,2040,66.3,0,1983
Poland,3360,71.3,0,1983
Portugal,2840,72.7,,1983
Qatar,,70.8,,1983
Romania,3000,70.1,0,1983
Russia,0,68.3,0,1983
Rwanda,2340,50.9,0,1983
Samoa,2500,65.7,,1983
San Marino,,77.7,,1983
Sao Tome and Principe,2080,61.4,0,1983
Saudi Arabia,2930,67.1,,1983
Senegal,2200,55,0,1983
Serbia,0,69.2,0,1983
Serbia and Montenegro,0,,,1983
Seychelles,,71.4,0,1983
